address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
345 Mccutcheon Ln,Pittsburgh,PA,15235,79900,NA,3.0,1.0,5,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/345-Mccutcheon-Ln-Pittsburgh-PA-15235/11415402_zpid/
487 Shadywood Dr,Penn Hills,PA,15235,110000,NA,2.0,2.0,4,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/487-Shadywood-Dr-Penn-Hills-PA-15235/2129471334_zpid/
218 Hart Dr,Pittsburgh,PA,15235,110000,NA,2.0,2.0,8,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/218-Hart-Dr-Pittsburgh-PA-15235/11535233_zpid/
7943 Dollman Rd,Pittsburgh,PA,15235,950000,NA,7.0,4.5,8,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/7943-Dollman-Rd-Pittsburgh-PA-15235/11377217_zpid/
131 Sycamore Dr,Penn Hills,PA,15235,53200,1620.0,4.0,3.0,NA,Foreclosure,http://www.zillow.com/homes/for_sale//homedetails/131-Sycamore-Dr-Penn-Hills-PA-15235/11491566_zpid/
Sycamore Dr,Penn Hills,PA,15235,NA,1944.0,4.0,2.5,228,Foreclosure,http://www.zillow.com/homes/for_sale//homedetails/Sycamore-Dr-Penn-Hills-PA-15235/126912606_zpid/
8527 Westwood Rd,Pittsburgh,PA,15235,124873,1756.0,4.0,2.0,25,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/8527-Westwood-Rd-Pittsburgh-PA-15235/11377287_zpid/
Glendale Rd # 9518,Pittsburgh,PA,15235,NA,2050.0,4.0,2.0,101,Foreclosure,http://www.zillow.com/homes/for_sale//homedetails/Glendale-Rd-9518-Pittsburgh-PA-15235/128623585_zpid/
156 Poplar Ridge Rd,Pittsburgh,PA,15235,119900,1450.0,3.0,2.0,12,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/156-Poplar-Ridge-Rd-Pittsburgh-PA-15235/11492584_zpid/
935 Jefferson Heights Rd,Pittsburgh,PA,15235,94900,NA,3.0,2.0,16,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/935-Jefferson-Heights-Rd-Pittsburgh-PA-15235/11534135_zpid/
141 Rosewood Dr,Pittsburgh,PA,15235,99000,956.0,3.0,2.0,17,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/141-Rosewood-Dr-Pittsburgh-PA-15235/11453743_zpid/
1115 Graham Blvd,Pittsburgh,PA,15235,85000,1528.0,3.0,1.5,19,Auction,http://www.zillow.com/homes/for_sale//homedetails/1115-Graham-Blvd-Pittsburgh-PA-15235/11417883_zpid/
Graham Blvd,Pittsburgh,PA,15235,NA,1528.0,2.0,1.5,46,Foreclosure,http://www.zillow.com/homes/for_sale//homedetails/Graham-Blvd-Pittsburgh-PA-15235/128863804_zpid/
